meter_date,meter_time,LAeq,one_third_octave_LAeq_6_3,one_third_octave_LAeq_8_0,one_third_octave_LAeq_10_0,one_third_octave_LAeq_12_5,one_third_octave_LAeq_16_0,one_third_octave_LAeq_20_0,one_third_octave_LAeq_25_0,one_third_octave_LAeq_31_5,one_third_octave_LAeq_40_0,one_third_octave_LAeq_50_0,one_third_octave_LAeq_63_0,one_third_octave_LAeq_80_0,one_third_octave_LAeq_100,one_third_octave_LAeq_125,one_third_octave_LAeq_160,one_third_octave_LAeq_200,one_third_octave_LAeq_250,one_third_octave_LAeq_315,one_third_octave_LAeq_400,one_third_octave_LAeq_500,one_third_octave_LAeq_630,one_third_octave_LAeq_800,one_third_octave_LAeq_1000,one_third_octave_LAeq_1250,one_third_octave_LAeq_1600,one_third_octave_LAeq_2000,one_third_octave_LAeq_2500,one_third_octave_LAeq_3150,one_third_octave_LAeq_4000,one_third_octave_LAeq_5000,one_third_octave_LAeq_6300,one_third_octave_LAeq_8000,one_third_octave_LAeq_10000,one_third_octave_LAeq_12500,one_third_octave_LAeq_16000,one_third_octave_LAeq_20000
2024-12-23,09:36:15,59.1,-32.1,-21.2,-21.3,-12.1,-3.4,17.2,14.6,19.2,21.1,28.5,26.2,28.7,40.7,35.6,33.0,47.6,44.5,49.7,53.6,53.5,42.9,44.0,44.5,44.4,48.1,43.6,39.3,36.7,33.5,32.3,31.4,29.5,26.7,23.0,15.6,4.0
2024-12-23,09:36:16,61.3,-42.8,-28.8,-24.7,-9.2,-0.8,13.0,13.3,19.9,22.7,28.8,26.4,27.1,39.7,33.7,31.9,43.9,40.9,44.7,46.8,46.7,51.8,55.3,51.9,55.4,48.1,43.5,42.2,43.7,35.7,33.3,32.0,30.0,27.6,23.4,16.2,3.7
2024-12-23,09:36:17,62.9,-35.4,-35.1,-25.1,-8.0,0.3,13.5,20.6,28.1,29.7,31.8,25.9,26.2,40.9,35.7,33.0,47.2,44.8,49.7,55.8,54.6,49.9,57.5,56.2,46.0,35.8,39.0,42.8,45.3,35.1,33.0,31.2,29.6,27.2,22.0,14.6,2.9
2024-12-23,09:38:28,55.2,-29.5,-27.3,-23.0,-17.6,-0.1,11.0,10.5,19.6,19.7,26.5,24.1,29.4,33.4,28.3,41.5,41.0,40.7,40.2,45.9,49.0,48.8,43.5,44.2,44.6,39.1,38.9,34.0,35.2,31.0,27.0,25.2,21.1,17.4,12.8,4.6,-6.8
2024-12-23,09:38:29,43.4,-34.9,-29.3,-25.6,-13.9,-1.5,12.0,10.7,17.1,17.5,27.6,21.1,22.3,28.9,25.0,25.8,26.6,32.5,31.8,34.8,33.6,33.9,32.6,33.7,30.1,28.0,27.2,25.9,25.6,26.4,24.3,22.9,19.9,16.5,11.9,5.2,-5.8
2024-12-23,09:38:30,48.4,-34.9,-26.0,-24.9,-15.2,3.0,11.2,15.4,19.0,20.0,26.0,20.9,26.4,30.9,25.7,24.2,27.1,32.3,32.3,32.8,34.1,36.1,33.5,33.5,34.1,31.4,28.4,26.0,26.6,25.3,23.8,22.6,20.6,17.0,12.8,6.2,-5.8
2024-12-23,09:38:31,67.6,-32.6,-28.0,-21.6,-13.2,3.1,11.7,15.3,17.3,18.2,23.5,23.0,26.8,36.4,41.0,46.2,44.3,51.1,61.9,58.3,60.8,58.8,51.7,52.9,56.2,55.1,51.6,49.0,46.4,48.9,41.1,42.9,37.0,29.4,21.6,13.3,-0.2
2024-12-23,09:38:32,66.3,-31.7,-17.7,-11.2,-16.3,4.4,9.0,13.7,14.4,16.3,20.3,19.9,26.9,42.7,34.2,27.7,49.6,39.0,56.2,65.0,52.3,49.2,48.2,45.2,49.0,49.0,44.8,41.8,42.3,39.3,36.6,35.1,33.0,25.5,18.4,11.7,0.3
2024-12-23,09:38:33,55.1,-32.9,-19.4,-16.0,-19.0,5.3,13.0,10.6,13.9,12.5,18.1,17.9,29.5,38.9,27.6,37.8,45.5,39.7,43.6,51.0,46.5,43.6,40.4,37.5,41.8,43.0,38.3,33.7,33.9,34.9,30.9,29.7,25.6,20.0,14.3,8.0,-4.0
2024-12-23,09:38:34,48.2,-34.1,-29.6,-18.3,-15.3,5.5,8.5,11.2,12.9,11.9,18.3,21.7,27.0,33.4,30.8,33.0,34.9,36.5,37.3,41.5,38.1,36.0,35.4,36.6,35.2,34.1,38.1,31.7,34.1,27.6,25.2,24.4,23.3,19.2,11.2,4.9,-6.5
2024-12-23,09:38:35,63.7,-35.4,-27.7,-18.8,-14.0,5.3,9.0,11.9,9.2,13.6,19.5,21.5,25.7,29.6,30.3,38.0,50.9,46.9,49.8,53.5,56.1,58.6,51.9,54.8,49.2,50.4,45.6,43.0,36.9,34.8,30.2,25.9,22.0,18.0,12.4,4.2,-7.6
2024-12-23,09:38:36,51.5,-34.2,-26.7,-20.5,-15.6,-1.8,8.3,8.8,9.9,13.3,16.6,21.8,27.5,31.2,28.8,44.6,41.1,39.6,43.1,38.4,47.1,43.9,37.6,37.6,38.4,36.4,35.7,33.1,34.0,32.4,29.8,24.8,19.9,14.8,9.2,3.0,-8.7
2024-12-23,09:38:37,44.1,-34.6,-29.3,-23.3,-16.1,0.0,5.7,11.7,10.8,8.5,18.6,19.5,24.1,28.5,23.8,27.0,28.3,32.5,33.2,34.4,33.2,33.9,33.0,34.4,32.7,28.2,29.0,26.9,26.1,25.2,24.5,22.3,18.9,14.7,10.3,4.2,-7.9
2024-12-23,09:38:38,55.8,-37.0,-26.0,-21.4,-22.2,2.1,10.1,13.3,8.7,11.8,18.0,24.0,24.4,28.7,25.9,26.5,35.8,37.5,38.3,41.6,45.8,47.4,44.8,45.8,45.9,47.6,43.7,47.7,36.9,38.9,37.1,31.3,28.8,23.0,17.9,10.5,-2.1
2024-12-23,09:38:39,49.1,-41.1,-26.3,-23.8,-19.5,-2.2,10.6,8.5,12.2,11.8,18.6,18.3,21.2,28.7,24.8,29.2,42.6,32.5,35.8,40.4,37.6,37.6,34.8,39.3,40.8,38.7,30.8,27.8,27.4,26.6,25.9,24.1,21.9,18.9,14.9,8.7,-2.5
2024-12-23,09:38:40,42.5,-37.9,-25.2,-19.5,-17.4,3.5,6.8,8.3,8.5,10.8,21.5,16.1,21.1,29.0,23.6,23.0,26.7,30.5,30.2,32.5,32.1,32.4,29.9,32.6,29.6,29.6,28.6,27.7,28.1,29.2,27.3,26.1,24.6,20.7,16.6,10.4,-1.1
2024-12-23,09:38:41,45.6,-36.7,-29.7,-23.6,-17.2,0.5,6.6,8.9,12.2,11.8,19.5,17.8,22.1,27.9,24.4,20.9,25.5,31.5,30.6,33.0,31.1,32.1,31.0,33.2,31.7,36.3,38.3,35.0,33.1,34.8,31.7,30.6,27.9,24.3,19.2,12.2,0.7
2024-12-23,09:38:42,41.4,-42.0,-26.6,-24.9,-15.6,2.6,3.9,11.7,13.1,11.2,14.3,18.7,21.2,28.5,24.9,23.4,25.0,31.7,29.9,31.7,30.6,31.4,30.4,31.7,29.5,26.1,25.6,24.6,24.9,25.2,23.5,24.3,22.6,19.9,16.3,10.3,-1.3
